"A.2.4","0","1","2","3","4","5","6","7"
"0","@","<","09EC","09F6","|","P","",""
"1","00A3","=","09ED","09F7","A","Q","",""
"2","$",">","09EE","09F8","B","R","",""
"3","00A5","00A1","09EF","09F9","C","S","",""
"4","00BF","^","09DF","09FA","D","T","",""
"5","QM","00A1","09E0","","E","U","20AC",""
"6","00A4","_","09E1","","F","V","",""
"7","%","#","09E2","","G","W","",""
"8","&","*","{","","H","X","",""
"9","'","09E6","}","","I","Y","",""
"a","000C","09E7","09E3","","J","Z","",""
"b","*","SP","09F2","","K","","",""
"c","+","09E8","09F3","[","L","","",""
"d","","09E9","09F4","~","M","","",""
"e","-","09EA","09F5","]","N","","",""
"f","/","09EB","\","","O","","",""
