"6.2.1.1","0","1","2","3","4","5","6","7"
"0","","","","","|","","",""
"1","","","","","","","",""
"2","","","","","","","",""
"3","","","","","","","",""
"4","","^","","","","","",""
"5","","","","","","","20AC",""
"6","","","","","","","",""
"7","","","","","","","",""
"8","","","{","","","","",""
"9","","","}","","","","",""
"a","000C","","","","","","",""
"b","","SP","","","","","",""
"c","","","","[","","","",""
"d","","","","~","","","",""
"e","","","","]","","","",""
"f","","","\","","","","",""
