"A.2.5","0","1","2","3","4","5","6","7"
"0","@","<","0AEA","","|","P","",""
"1","00A3","=","0AEB","","A","Q","",""
"2","$",">","0AEC","","B","R","",""
"3","00A5","00A1","0AED","","C","S","",""
"4","00BF","^","0AEE","","D","T","",""
"5","QM","00A1","0AEF","","E","U","20AC",""
"6","00A4","_","","","F","V","",""
"7","%","#","","","G","W","",""
"8","&","*","{","","H","X","",""
"9","'","0964","}","","I","Y","",""
"a","000C","0965","","","J","Z","",""
"b","*","SP","","","K","","",""
"c","+","0AE6","","[","L","","",""
"d","","0AE7","","~","M","","",""
"e","-","0AE8","","]","N","","",""
"f","/","0AE9","\","","O","","",""
