"A.3.7","0","1","2","3","4","5","6","7"
"0","","0C90","SP","0","0CAC","0CBE","0CD5","p"
"1","0C82","","!","1","0CAD","0CBF","a","q"
"2","0C83","0C92","0C9F","2","0CAE","0CC0","b","r"
"3","0C85","0C93","0CA0","3","0CAF","0CC1","c","s"
"4","0C86","0C94","0CAA","4","0CB0","0CC2","d","t"
"5","0C87","0C95","0CA2","5","0CB1","0CC3","e","u"
"6","0C88","0C96","0CA3","6","0CB2","0CC4","f","v"
"7","0C89","0C97","0CA4","7","0CB3","","g","w"
"8","0C8A","0C98",")","8","","0CC6","h","x"
"9","0C8B","0C99","(","9","0CB5","0CC7","i","y"
"a","LF","0C9A","0CA5",":","0CB6","0CC8","j","z"
"b","0C8C","SP","0CA6",";","0CB7","","k","0CD6"
"c","","0C9B","'","","0CB8","0CCA","l","0CE0"
"d","CR","0C9C","0CA7","0CAA","0CB9","0CCB","m","0CE1"
"e","0C8E","0C9D",".","0CAB","0CBC","0CCC","n","0CE2"
"f","0C8F","0C9E","0CA8","?","0CBD","0CCD","o","0CE3"
