"A.3.8","0","1","2","3","4","5","6","7"
"0","","0D10","SP","0","0D2C","0D3E","0D57","p"
"1","0D02","","!","1","0D2D","0D3F","a","q"
"2","0D03","0D12","0D1F","2","0D2E","0D40","b","r"
"3","0D05","0D13","0D20","3","0D2F","0D41","c","s"
"4","0D06","0D14","0D21","4","0D30","0D42","d","t"
"5","0D07","0D15","0D22","5","0D31","0D43","e","u"
"6","0D08","0D16","0D23","6","0D32","0D44","f","v"
"7","0D09","0D17","0D24","7","0D33","","g","w"
"8","0D0A","0D18",")","8","0D34","0D46","h","x"
"9","0D0B","0D19","(","9","0D35","0D47","i","y"
"a","LF","0D1A","0D25",":","0D36","0D48","j","z"
"b","0D0C","SP","0D26",";","0D37","","k","0D60"
"c","","0D1B","'","","0D38","0D4A","l","0D61"
"d","CR","0D1C","0D27","0D2A","0D39","0D4B","m","0D62"
"e","0D0E","0D1D",".","0D2B","","0D4C","n","0D63"
"f","0D0F","0D1E","0D28","?","0D3D","0D4D","o","0D79"
