"A.3.9","0","1","2","3","4","5","6","7"
"0","0B01","0B10","SP","0","0B2C","0B3E","0B56","p"
"1","0B02","","!","1","0B2D","0B3F","a","q"
"2","0B03","","0B1F","2","0B2E","0B40","b","r"
"3","0B05","0B13","0B20","3","0B2F","0B41","c","s"
"4","0B06","0B14","0B21","4","0B30","0B42","d","t"
"5","0B07","0B15","0B22","5","","0B43","e","u"
"6","0B08","0B16","0B23","6","0B32","0B44","f","v"
"7","0B09","0B17","0B24","7","0B33","","g","w"
"8","0B0A","0B18",")","8","","","h","x"
"9","0B0B","0B19","(","9","0B35","0B47","i","y"
"a","LF","0B1A","0B25",":","0B36","0B48","j","z"
"b","0B0C","SP","0B26",";","0B37","","k","0B57"
"c","","0B1B","'","","0B38","","l","0B60"
"d","CR","0B1C","0B27","0B2A","0B39","0B4B","m","0B61"
"e","","0B1D",".","0B2B","0B3C","0B4C","n","0B62"
"f","0B0F","0B1E","0B28","?","0B3D","0B4D","o","0B63"
