"A.3.3","0","1","2","3","4","5","6","7"
"0","@","0394","SP","0","00CD","P","~","p"
"1","00A3","_","!","1","A","Q","a","q"
"2","$","00AA","QM","2","B","R","b","r"
"3","00A5","00C7","#","3","C","S","c","s"
"4","00EA","00C0","00BA","4","D","T","d","t"
"5","00E9","221E","%","5","E","U","e","u"
"6","00FA","^","&","6","F","V","f","v"
"7","00ED","\","'","7","G","W","g","w"
"8","00F3","20AC","(","8","H","X","h","x"
"9","00E7","00D3",")","9","I","Y","i","y"
"a","LF","|","*",":","J","Z","j","z"
"b","00D4","SP","+",";","K","00C3","k","00E3"
"c","00F4","00C2",",","<","L","00D5","l","00F5"
"d","CR","00E2","-","=","M","00DA","m","`"
"e","00C1","00CA",".",">","N","00DC","n","00FC"
"f","00E1","00C9","/","?","O","00A7","o","00E0"
