"A.2.3","0","1","2","3","4","5","6","7"
"0","","","","","|","","",""
"1","","","","","00C0","","00C2",""
"2","","03A6","","","","","",""
"3","","0393","","","","","",""
"4","","^","","","","","",""
"5","00EA","03A9","","","","00DA","20AC","00FA"
"6","","03A0","","","","","",""
"7","","03A8","","","","","",""
"8","","03A3","{","","","","",""
"9","00E7","0398","}","","00CD","","00ED",""
"a","000C","","","","","","",""
"b","00D4","SP","","","","00C3","","00E3"
"c","00F4","","","[","","00D5","","00F5"
"d","","","","~","","","",""
"e","00C1","","","]","","","",""
"f","00E1","00CA","\","","00D3","","00F3","00E2"
