"A.2.11","0","1","2","3","4","5","6","7"
"0","@","<","0BEA","","|","P","",""
"1","00A3","=","0BEB","","A","Q","",""
"2","$",">","0BEC","","B","R","",""
"3","00A5","00A1","0BED","","C","S","",""
"4","00BF","^","0BEE","","D","T","",""
"5","QM","00A1","0BEF","","E","U","20AC",""
"6","00A4","_","0BF3","","F","V","",""
"7","%","#","0BF4","","G","W","",""
"8","&","*","{","","H","X","",""
"9","'","0964","}","","I","Y","",""
"a","000C","0965","0BF5","","J","Z","",""
"b","*","SP","0BF6","","K","","",""
"c","+","0BE6","0BF7","[","L","","",""
"d","","0BE7","0BF8","~","M","","",""
"e","-","0BE8","0BFA","]","N","","",""
"f","/","0BE9","\","","O","","",""
