"A.3.12","0","1","2","3","4","5","6","7"
"0","0C01","0C10","SP","0","0C2C","0C3E","0C55","p"
"1","0C02","","!","1","0C2D","0C3F","a","q"
"2","0C03","0C12","0C1F","2","0C2E","0C40","b","r"
"3","0C05","0C13","0C20","3","0C2F","0C41","c","s"
"4","0C06","0C14","0C21","4","0C30","0C42","d","t"
"5","0C07","0C15","0C22","5","0C31","0C43","e","u"
"6","0C08","0C16","0C23","6","0C32","0C44","f","v"
"7","0C09","0C17","0C24","7","0C33","","g","w"
"8","0C0A","0C18",")","8","","0C46","h","x"
"9","0C0B","0C19","(","9","0C35","0C47","i","y"
"a","LF","0C1A","0C25",":","0C36","0C48","j","z"
"b","0C0C","SP","0C26",";","0C37","","k","0C56"
"c","","0C1B","'","","0C38","0C4A","l","0C60"
"d","CR","0C1C","0C27","0C2A","0C39","0C4B","m","0C61"
"e","0C0E","0C1D",".","0C2B","","0C4C","n","0C62"
"f","0C0F","0C1E","0C28","?","0C3D","0C4D","o","0C63"
