"A.2.13","0","1","2","3","4","5","6","7"
"0","@","<","06F4","0613","|","P","",""
"1","00A3","=","06F5","0614","A","Q","",""
"2","$",">","06F6","061B","B","R","",""
"3","00A5","00A1","06F7","061F","C","S","",""
"4","00BF","^","06F8","0640","D","T","",""
"5","QM","00A1","06F9","0652","E","U","20AC",""
"6","00A4","_","060C","0658","F","V","",""
"7","%","#","060D","066B","G","W","",""
"8","&","*","{","066C","H","X","",""
"9","'","0600","}","0672","I","Y","",""
"a","000C","0601","060E","0673","J","Z","",""
"b","*","SP","060F","06CD","K","","",""
"c","+","06F0","0610","[","L","","",""
"d","","06F1","0611","~","M","","",""
"e","-","06F2","0612","]","N","","",""
"f","/","06F3","\","06D4","O","","",""
